,State,Latitude,Longitude,Name,Code,Count
0,AL,32.601011199999995,-86.6807365,Alabama,alu,7114
1,AK,61.3025006,-158.7750198,Alaska,aku,1899
2,AZ,34.1682185,-111.930907,Arizona,azu,3754
3,AR,34.7519275,-92.13137840000002,Arkansas,aru,3451
4,CA,37.2718745,-119.2704153,California,cau,92772
5,CO,38.9979339,-105.55056699999999,Colorado,cou,19168
6,CT,41.518783500000005,-72.75750699999999,Connecticut,ctu,36993
7,DE,39.145251,-75.41892059999999,Delaware,deu,2620
8,DC,38.899348700000004,-77.0145666,District of Columbia,dcu,915051
9,FL,27.9757279,-83.8330166,Florida,flu,6930
10,GA,32.6781248,-83.22297569999999,Georgia,gau,14249
11,HI,20.46,-157.505,Hawaii,hiu,4349
12,ID,45.4945756,-114.1424303,Idaho,idu,3921
13,IL,39.739318,-89.504139,Illinois,ilu,202146
14,IN,39.7662195,-86.441277,Indiana,inu,23304
15,IA,41.9383166,-93.389798,Iowa,iau,19980
16,KS,38.4987789,-98.32007790000002,Kansas,ksu,12263
17,KY,37.8222935,-85.76823990000001,Kentucky,kyu,10697
18,LA,30.9733766,-91.42990970000001,Louisiana,lau,9537
19,ME,45.2185133,-69.0148656,Maine,meu,11801
20,MD,38.806352399999994,-77.2684162,Maryland,mdu,82906
21,MA,42.062939799999995,-71.718067,Massachusetts,mau,264447
22,MI,44.9435598,-86.41580490000001,Michigan,miu,61775
23,MN,46.4418595,-93.3655146,Minnesota,mnu,30415
24,MS,32.5851062,-89.8772196,Mississippi,msu,8419
25,MO,38.3046615,-92.437099,Missouri,mou,27804
26,MT,46.6797995,-110.04478300000001,Montana,mtu,3948
27,NE,41.5008195,-99.680902,Nebraska,nbu,6592
28,NV,38.502032,-117.0230604,Nevada,nvu,2838
29,NH,44.00123060000001,-71.57992309999999,New Hampshire,nhu,10914
30,NJ,40.1430058,-74.7311156,New Jersey,nju,24446
31,NM,34.1662325,-106.02606850000001,New Mexico,nmu,5656
32,NY,40.7056258,-73.97968,New York,nyu,705669
33,NC,35.2145629,-79.8912675,North Carolina,ncu,24882
34,ND,47.467881899999995,-100.3022655,North Dakota,ndu,3406
35,OH,40.1903624,-82.6692525,Ohio,ohu,64873
36,OK,35.309765399999996,-98.71655849999999,Oklahoma,oku,5159
37,OR,44.1419049,-120.5380993,Oregon,oru,12481
38,PA,40.99459279999999,-77.6046984,Pennsylvania,pau,159361
39,RI,41.5827282,-71.5064508,Rhode Island,riu,10263
40,SC,33.62505,-80.9470381,South Carolina,scu,7652
41,SD,44.2126995,-100.24716409999999,South Dakota,sdu,4067
42,TN,35.830521000000005,-85.97859890000001,Tennessee,tnu,25878
43,TX,31.1693363,-100.0768425,Texas,txu,16812
44,UT,39.4997605,-111.547028,Utah,utu,8294
45,VT,43.8717545,-72.4477828,Vermont,vtu,7764
46,VA,38.0033855,-79.4587861,Virginia,vau,40900
47,WA,38.899348700000004,-77.0145665,Washington,wau,14198
48,WV,38.920170500000005,-80.1816905,West Virginia,wvu,5318
49,WI,44.7862968,-89.82670490000001,Wisconsin,wiu,31871
50,WY,43.000325,-107.5545669,Wyoming,wyu,2667
